Insult,Date,Comment
1,20120618192155Z,you fuck your dad
0,20120528192215Z,i really do not understand your point xa it seems that you are mixing apples and oranges
0,,a xc xa majority of canadians can and has been wrong before now and will be again n nunless you supportive of the idea that nothing is full proof or perfect so you take your chances and if we should inadvertently kill your son or daughter then them the breaks and we can always regard you as collateral damage like in wartime and sorry but xc xa the cheques in the mail
0,,listen if you dont wanna get married to a man or a women dont do it what would it bother you if gay people got married stay in your lane do you let them do them and your god is so nice but quick to judg if your not like him thought you wasnt suppose to judge people
0,20120619094753Z,c xe c b u ea n xu u ed ng u u b u eddng bi u ec u t xecnh c xf xf n ho xe kh xf ng nc xe c ng u b d xe n ng u ed i cu xed u u ea u chi u ee nh u ee c c xf xf n ho xe kh xf ng <SIGNS> nc xe c n xf ng d xe n gi u eef u u ea t u edf v u n giang c u ea n th u a c xf xf n ho xe kh xf ng <SIGNS> n nr u ed t cu u ed c u u b u ee c g xec xa th xec ch xfang ta u xe bi u ebft <SIGNS> nai c u ng y xeau chu u ed ng ho xe b xecnh nh u b ng u xf i khi ho xe b xecnh ch u ec th u eadt s u ef u u ebfn sau chi u ebfn tranh m xe th xf i nkh xf ng c xf n con u u b u eddng n xe o ch u ecdn kh xe c u xe u u u eebng m u a th xeam n u b xe
0,20120620171226Z,sdl ok but i would hope they sign him to a one year contract to start with give him the chance to be reliable and productive but give themselves the out if all his time off has hurt his playing skills or if he falls back into old habits
0,20120503012628Z,yeah and where are you now <SIGNS>
1,,shut the fuck up you and the rest of your faggot friends should be burned at the stake
1,20120502173553Z,either you are fake or extremely stupid maybe both
1,20120620160512Z,that you are an idiot who understands neither taxation nor women health
0,20120620015140Z,jdstorm dont wish him injury but it happened on its own and i doubt he injured he looked embarrassed to me
0,20120530044519Z,be careful jimbo og has a fork with your name on it
0,,tonnyb or they just do not pay attention
0,,hm perhaps some who are too pig faced to get laid and therefore have zero chance of getting pregnant from such activity hold something against women who can <SIGNS> idk stream of consciousnees thought after looking at her
0,,barrettmarson huh her income was her spending was my math puts that at
1,20120611090207Z,for some reason u sound retarded lol damn where u been negro
1,20120320162532Z,you with the racist screen name n nyou are a pieceofshit
0,,oh <SIGNS> cheating as well cup was a cheat fest you still dare to post that comment shame on you lol
1,20120320075347Z,your such a dickhead
1,20120320203947Z,your a retard go post your head up your
0,20120612051612Z,eephusblue xa makes you want to say mike macwhogal <SIGNS>
0,20120611234235Z,http w youtube com watch <SIGNS> v tlyllphkru
0,20120502215304Z,and you know they burned holes in all the carpeting
0,20120503031721Z,you are a land creature you would drown
0,,to all those doom and gloomers the chicken littles who claim the sky is falling and that society is collapsing canada has had gay marriage nationwide for years where is the disaster where is the collapse and the persecution you shouting about where is it please show us some examples because it starting to look like your threats and fears and warnings are nothing but hot air
0,20120612144331Z,craig we have been saying from the start that this is a very entertaining show xa it awakens the horny little goth in me xa i met my boyfriend during the first season and one of the first thing we did was watch ahs at my house xa i know he likes me and all but to this day he is sure i am far creepier and kinkier than he could ever be xa thanks american horror story xa sweet clam loves you
0,20120529025329Z,strange you are talking about that when there were chelsea fans in here belittling the community shield
0,20120612052926Z,but how would you actually get the key out <SIGNS>
0,20120528193950Z,oh cool some more internet points for your collection <SIGNS>
0,20120529230121Z,even though i think there are better coaches out there i am glad del negro is keeping his job i never thought he got enough credit those years when he took those average chicago bulls teams he coached to the playoffs years in a row
0,20120611201838Z,russellpiano xa nhm how can we spin obama honoring vietnam troops as something negative answer does not matter <SIGNS> look at our followers they ll take anything n n nobama team xa hm how can we make the liberal messiah look better in light of the revelations of his leaking classified information to the new york times <SIGNS> i know lets have a bogus photo shoot at the viet nam memorial that will make obama look like he cares about vets but first we ll have to clear all the vets out of the immediate area because they ca not be trusted
0,20120529115214Z,a good article which for all the good it will do could have been delivered to a brick wall
0,,head up warning another source of funding for media matters is peter lewis of the progessive insurance company you know those auto insurance commercials that run every minutes on cable television featuring the gal who looks like a blow up doll with red lips and xc xa a perfectly round mouth if you know what i mean nif you have progressive xc xa auto insurance just know that part of your premium is going to fund a progressive liberal xc xa organization hell bent xc xa on destroying xc xa our country and our free speech their mission is to xc xa bring down xc xa hannity beck dobbs lavin limbaugh boortz etc we must not let them win
0,20120620055647Z,sdnoriko lol as if capcom listens watch them fuck this up too i hope i am wrong i love okami
1,20120515132156Z,allinit your xa hypocrisy xa is sickening you ignorant loser
0,20120620011710Z,fast furious did not work out like they planned did it <SIGNS> lololololololol
0,20120530111709Z,mitt is not the best candidate for president but going against the worst xa candidate xa ever should help him tremendously xa lol xa n nobama is one and done it could happen no other way
1,20120620161958Z,i ca not believe the stupid people on this site that have no idea what is going on xa you fools xa you are all useful idiots xa they are hiding the truth because you fools who protect him would look like the useful idiots you are
1,20120609163743Z,fucking behave then you prick <SIGNS>
0,20120619094846Z,the only other relevant fact is that he is destroying america <SIGNS>
0,20120609175446Z,you are a liar
1,20120620075045Z,is that it <SIGNS> your sum total to any conversation is first abuse and then calling them a troll you are a typical socialist idiot keep up your non existent class warfare it is as pointless as you
0,20120619231647Z,beanstalk briview welp then nbw right <SIGNS>
0,20120620024445Z,good job fellas i did not quite read the rules about a signature piece but i guess that was as good as any i found some great blogs to follow and to share over at g if i not commenting on your blogs it because i always throw my two cents in when i post my share add me on there if you are a googler nhttps plus google com posts again congratulations to the winners and i hope we get the chance to submit something else this was fucking fun
0,,i say hang is ass in the center of the town to let it be known that this type of behavior gets this type of punishment the lady had a kid week ago women are not safe to have sex after child birth for at least weeks so even if this was xc xa consensual it would have been way too soon and hurt the lady i am so glad the the baby is so young and will not remember this event happening in it house and i hope the mother recovers quickly
1,20120619074710Z,faggot
0,20120529201852Z,you right if you are relaxe then you can give better result or perform and your identity should be from your work
1,20120529130844Z,aimless abe you are a delusion weirdo that should be locked up inside and kept away from computers xa anyone who doubts the lunacy of abe the moronic prog frog from nyc please read this thread and you will see abe completely come apart from the seams and go off the deep end
0,20120610150536Z,that i do not doubt n n as a blackberry clone n nbut your original argument was not that android would have existed just that android somehow predates ios development
0,20120530023429Z,okc should work out a deal to get a pg who plays more like parker or cp i think nash at the point and move westbrook to sg that team would be unstoppable imagine the shots nash would create for durant then westbrook would be at his natural position too the guy does not create shots or distribute
0,20120619183841Z,maher show goes on and on npalin xa alakda show gets canceled n nis not the free market wonderful <SIGNS>
1,20120320131007Z,even as a troll you are a pathetic failure
0,20120529231612Z,grazie mille sabrina <SIGNS> sei cos xec dolce n nbaci
0,20120530064120Z,yeah well it would still be better than letting them sit there for years on my dime before sticking a needle in their veins i say give them all a noose if they choose to kill themselves so be it
0,20120612003945Z,um n xa nholy fuck i need a cigarette
1,20120502173058Z,you a moron truth is beyond your reach
0,20120529022638Z,you seem wistful
0,20120529141937Z,damn speedy recovery paul raining prayers down on you <SIGNS>
0,20120528151453Z,the laughs you two heard were triggered by memories of his own high flying exits off moving beasts
1,20120619203151Z,your anti semitic rants are not welcomed here you are a racist moron nfu <SIGNS>
0,20120620175146Z,nonstopdrivel was fredex on this team <SIGNS>
1,20120619033424Z,god you tiresome get a life you loser
0,20120612141919Z,stop pretending you not bradley side you the bs are u blind do not give us that stupid xa long xa explainations of yours xa you xa xa sounds like that idiot judges exactly carbon copy <SIGNS> arum we need our money bacck <SIGNS>
0,20120610012708Z,fucking weird game man
0,20120620031132Z,i told you i would give it if you did you started acting likje a tough guy behind your moms computer then i asked you times for an address and you still wo not give it
0,20120619055834Z,i do not know if lewis is a little boy or little girl either way it becomes the third on my list of petulant idiots you will understand when you grow up ask an old bastard member of your family to explain such actions cannot be tolerated how come you blame the line judge weird
0,20120620015832Z,thats a pathetic flop fuck you jvg
0,20120611195156Z,why should they bother improving ios if they sell more phones than they care to produce these advice are better served to the also runs wp first and foremost
0,,spursruss i live in argentina and its not all argentinians the problem being those who are loud on the issue are ill educated and you can be sure they would not be rushing to fight anyone they would be cowering in the background my wife is argentinean and she is the first one to recognize the stupidity of the claims some of muppet think they fought their independence against the uk morons the lot of them the answer is simple if we were the leading colonial force you would be an english speaking country you are not because werent it was spain portugal france our interests were commercial also the worst part is they themselves exterminated the natives the spanish started it but actually it was the newly formed argies which did most of the killing of the native lovely eh clueless stuff you wonder why the government gets away with corruption so many ignorant people thats why you shouldnt judge all by the standard these a huge amount of argies who see the cristina drum beating for what it is the same as all presidents of argentina do using it to cover their failing
0,20120527153941Z,you better hope because the marlins have a history of giving up their superstars
0,,well you guys have gone and done it now you put the words china and chinese up the required number of times for the dating asians ad to come up evidently ms zhang kg and cm for a bmi of from hunan china wants to meet me she has her little mouth open like she speaking what that you ask zhang well yes as a matter of fact i am a physician why are you clapping your hands together and jumping up and down stop that squealing young lady and exprain yourself <SIGNS>
0,20120620154731Z,you mean like your off topic obama rant bellow <SIGNS>
0,20120529035809Z,i hope they do it inconjunction with july
0,,surely will be a crushing blow when he does not get the next four years would you consider leaving the country <SIGNS>
0,20120611225404Z,i have not watched fox news in years true
0,20120528200101Z,are you in france <SIGNS>
0,20120620001100Z,i ll take that temp i really hate the heat
0,20120620070034Z,alexis bledel can act wait can she i have this blind spot when it comes to impossibly beautiful women shit maybe she ca not act fuck what the hell do i do now <SIGNS> n nwhat the hell do i do now <SIGNS>
0,20120612035513Z,i like your comments nhowever i would go one step further it not time to let the people of il fight back nrather the citizens of il just need to fight back period ni will carry next time i travel into little beirut i e chicago
1,20120619194023Z,fact georgia passed a strict immigration policy and most of the latino farm workers left the area vidalia georgia now has over agriculture job openings and they have been able to fill about of them in past year all you white real americans who are looking for work that the latinos stole from you where are you the jobs are i vadalia just waiting for you or maybe its the fact that you would rather collect unemployment like the rest of the tea klaners you scream you complain and you sit at home in your wife beaters and drink beer typical real white tea klan
1,20120530000452Z,of course you would bottom feeder
0,20120619201802Z,m xe tenlos <SIGNS> nhttp bp blogspot com yvszmvv irw tmo kfaugmi a k nllaahknnis s kill it with fire kill it kill it with fire s x jpg
1,20120619162450Z,you are xa a fukin moron xa xa you are just butthurt that you got rejected on wikipedia n ncall yoursilf scolar or whatever xa i am better than you xa just and already a wikipedia administrator xa you are just a stupid ashole
0,20120528135045Z,he is doing what any president doe on this day ni do not recall if other presidents appeared at the wall n nelection year yea but then again you would never say anything nif he did not appear you can not have it both ways
